P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( CalcPrior ) = 0.25
P( knicked | Deceptive Negative) = 3.89749585891e-05
P( knicked | Deceptive Positive) = 2.87471971483e-05
P( knicked | Truthful Negative) = 1.93150870145e-05
P( knicked | Truthful Positive) = 2.63289539507e-05
P( yellow | Deceptive Negative) = 0.000116924875767
P( yellow | Deceptive Positive) = 2.87471971483e-05
P( yellow | Truthful Negative) = 1.93150870145e-05
P( yellow | Truthful Positive) = 2.63289539507e-05
P( scant--looks | Deceptive Negative) = 1.94874792946e-05
P( scant--looks | Deceptive Positive) = 2.87471971483e-05
P( scant--looks | Truthful Negative) = 3.86301740289e-05
P( scant--looks | Truthful Positive) = 2.63289539507e-05
P( four | Deceptive Negative) = 0.000175387313651
P( four | Deceptive Positive) = 0.00017248318289
P( four | Truthful Negative) = 0.00034767156626
P( four | Truthful Positive) = 0.000263289539507
P( friend's | Deceptive Negative) = 1.94874792946e-05
P( friend's | Deceptive Positive) = 2.87471971483e-05
P( friend's | Truthful Negative) = 1.93150870145e-05
P( friend's | Truthful Positive) = 5.26579079013e-05
P( hanging | Deceptive Negative) = 5.84624378837e-05
P( hanging | Deceptive Positive) = 2.87471971483e-05
P( hanging | Truthful Negative) = 0.000115890522087
P( hanging | Truthful Positive) = 2.63289539507e-05
P( nitghts | Deceptive Negative) = 1.94874792946e-05
P( nitghts | Deceptive Positive) = 2.87471971483e-05
P( nitghts | Truthful Negative) = 3.86301740289e-05
P( nitghts | Truthful Positive) = 2.63289539507e-05
P( best--i | Deceptive Negative) = 1.94874792946e-05
P( best--i | Deceptive Positive) = 2.87471971483e-05
P( best--i | Truthful Negative) = 1.93150870145e-05
P( best--i | Truthful Positive) = 5.26579079013e-05
P( canes | Deceptive Negative) = 1.94874792946e-05
P( canes | Deceptive Positive) = 2.87471971483e-05
P( canes | Truthful Negative) = 3.86301740289e-05
P( canes | Truthful Positive) = 2.63289539507e-05
P( eligible | Deceptive Negative) = 1.94874792946e-05
P( eligible | Deceptive Positive) = 2.87471971483e-05
P( eligible | Truthful Negative) = 1.93150870145e-05
P( eligible | Truthful Positive) = 5.26579079013e-05
P( reclean | Deceptive Negative) = 3.89749585891e-05
P( reclean | Deceptive Positive) = 2.87471971483e-05
P( reclean | Truthful Negative) = 1.93150870145e-05
P( reclean | Truthful Positive) = 2.63289539507e-05
P( refunding | Deceptive Negative) = 3.89749585891e-05
P( refunding | Deceptive Positive) = 2.87471971483e-05
P( refunding | Truthful Negative) = 1.93150870145e-05
P( refunding | Truthful Positive) = 2.63289539507e-05
P( lore | Deceptive Negative) = 1.94874792946e-05
P( lore | Deceptive Positive) = 2.87471971483e-05
P( lore | Truthful Negative) = 1.93150870145e-05
P( lore | Truthful Positive) = 5.26579079013e-05
P( lord | Deceptive Negative) = 1.94874792946e-05
P( lord | Deceptive Positive) = 2.87471971483e-05
P( lord | Truthful Negative) = 3.86301740289e-05
P( lord | Truthful Positive) = 2.63289539507e-05
P( shaving | Deceptive Negative) = 1.94874792946e-05
P( shaving | Deceptive Positive) = 2.87471971483e-05
P( shaving | Truthful Negative) = 3.86301740289e-05
P( shaving | Truthful Positive) = 2.63289539507e-05
P( deli | Deceptive Negative) = 1.94874792946e-05
P( deli | Deceptive Positive) = 2.87471971483e-05
P( deli | Truthful Negative) = 1.93150870145e-05
P( deli | Truthful Positive) = 5.26579079013e-05
P( foul | Deceptive Negative) = 7.79499171782e-05
P( foul | Deceptive Positive) = 2.87471971483e-05
P( foul | Truthful Negative) = 3.86301740289e-05
P( foul | Truthful Positive) = 2.63289539507e-05
P( bringing | Deceptive Negative) = 7.79499171782e-05
P( bringing | Deceptive Positive) = 2.87471971483e-05
P( bringing | Truthful Negative) = 1.93150870145e-05
P( bringing | Truthful Positive) = 7.8986861852e-05
P( disturb | Deceptive Negative) = 7.79499171782e-05
P( disturb | Deceptive Positive) = 2.87471971483e-05
P( disturb | Truthful Negative) = 3.86301740289e-05
P( disturb | Truthful Positive) = 5.26579079013e-05
